Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
1,Jett Buck,23,41,188,160,37,52,12,0,7,39,6,1,13,43,.325,.399,.531,.930,85,1,10,0,5,1,,player.fcgi?id=buck--000jet
2,Max Buettenback*,21,24,73,58,10,11,2,0,2,8,0,0,8,24,.190,.329,.328,.656,19,1,5,0,2,0,,player.fcgi?id=buette000max
3,Dylan Carey,22,41,193,174,39,66,12,2,12,53,7,2,12,35,.379,.435,.678,1.113,118,4,6,0,1,1,,player.fcgi?id=carey-000dyl
4,Trey Fikes,21,14,26,22,5,6,2,0,0,3,0,0,1,5,.273,.360,.364,.724,8,0,2,1,0,0,,player.fcgi?id=fikes-000tre
5,Preston Freeman*,22,16,28,26,5,5,1,0,1,5,1,0,2,6,.192,.250,.346,.596,9,0,0,0,0,0,,player.fcgi?id=freema002pre
6,Drew Grego,19,35,130,112,23,36,7,1,7,34,2,3,10,29,.321,.400,.589,.989,66,3,6,0,2,0,,player.fcgi?id=grego-000dre
7,Will Jesske,21,19,57,49,12,18,5,0,3,12,0,0,4,6,.367,.456,.653,1.109,32,0,4,0,0,0,,player.fcgi?id=jesske000wil
8,Carter Kelley,21,6,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=kelley005car
9,Cole Kitchens,22,24,77,71,4,16,5,0,1,17,0,0,4,17,.225,.273,.338,.611,24,1,1,0,1,0,,player.fcgi?id=kitche001col
10,Miken Miller*,22,15,52,48,7,12,0,1,0,5,0,0,1,9,.250,.255,.292,.547,14,1,0,1,2,0,,player.fcgi?id=miller017mik
11,Mac Moyer*,22,42,202,169,49,66,10,1,3,25,5,3,28,20,.391,.483,.515,.997,87,2,3,1,1,1,,player.fcgi?id=moyer-000mcc
12,Nico Newhan,21,7,14,13,2,2,1,0,1,2,0,0,0,5,.154,.214,.462,.676,6,0,1,0,0,0,,player.fcgi?id=newhan000nic
13,Devin Nunez*,20,21,54,46,7,11,0,0,0,7,3,0,3,17,.239,.315,.239,.554,11,0,3,0,2,0,,player.fcgi?id=nunez-000dev
14,Josh Overbeek#,23,38,170,133,28,35,7,2,3,20,4,2,20,31,.263,.408,.414,.822,55,2,14,1,2,0,,player.fcgi?id=overbe000jos
15,Case Sanderson*,22,42,202,156,45,55,10,1,5,37,4,1,33,47,.353,.490,.526,1.016,82,1,11,0,2,0,,player.fcgi?id=sander000cas
16,Rhett Stokes,23,36,113,96,18,33,5,0,2,14,2,2,9,15,.344,.417,.458,.875,44,2,3,5,0,0,,player.fcgi?id=stokes000rhe
17,Reed Strohmeyer*,19,7,2,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=strohm000ree
18,Jeter Worthley,19,38,170,131,30,38,11,1,0,12,4,1,16,27,.290,.429,.389,.819,51,2,16,7,0,0,,player.fcgi?id=worthl000jet
